Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,887.0,0.0,0.0,0.0,
1961,737.0,0.0,0.0,0.0,
1962,966.0,0.0,0.0,0.0,
1963,841.0,1.0,0.0,0.0,10745.0
1964,945.0,56.0,0.0,0.0,11353.0
1965,1093.0,143.0,0.0,0.0,12480.0
1966,1186.0,129.0,0.0,0.0,13747.0
1967,863.0,141.0,0.0,0.0,14616.0
1968,1007.0,15.0,0.0,0.0,16149.0
1969,1004.0,0.0,0.0,0.0,17681.0
1970,894.0,0.0,0.0,0.0,18699.0
1971,980.0,1394.0,0.0,0.0,20035.0
1972,1041.0,3559.0,0.0,0.0,21925.0
1973,1057.0,3270.0,0.0,0.0,26001.0
1974,918.0,4363.0,0.0,0.0,27689.0
1975,917.0,9750.0,0.0,0.0,29683.0
1976,588.0,9911.0,0.0,0.0,32840.0
1977,670.0,11163.0,0.0,0.0,36830.0
1978,1081.0,11591.0,0.0,0.0,41641.0
1979,917.0,11503.0,0.0,0.0,46861.0
1980,786.0,10027.0,0.0,0.0,50219.0
1981,938.0,10187.0,0.0,0.0,55404.0
1982,1006.0,10197.0,0.0,0.0,57472.0
1983,1073.0,11753.0,0.0,0.0,61950.0
1984,971.0,8328.0,0.0,0.0,71369.0
1985,973.0,11572.0,0.0,0.0,75832.0
1986,1081.0,11052.0,0.0,0.0,79450.0
1987,865.0,11554.0,0.0,0.0,85365.0
1988,677.0,12288.0,0.0,0.0,91896.0
1989,817.0,10926.0,0.0,0.0,98313.0
1990,857.0,12139.0,0.0,0.0,102757.0
1991,1037.0,12059.0,0.0,0.0,106102.0
1992,1063.0,11166.0,0.0,0.0,114518.0
1993,1151.0,11986.0,0.0,0.0,117947.0
1994,1139.0,12224.0,0.0,40.0,128167.0
1995,1098.0,13243.0,0.0,57.0,135124.0
1996,1187.0,12095.0,0.0,50.0,145880.0
1997,1035.0,10819.0,0.0,54.0,156650.0
1998,955.0,11644.0,0.0,147.0,167034.0
1999,1179.0,13316.0,0.0,486.0,175778.0
2000,931.0,12960.0,0.0,725.0,191106.0
2001,832.0,11789.0,0.0,897.0,195810.0
2002,809.0,13685.0,0.0,906.0,203521.0
2003,815.0,13414.0,0.0,978.0,216458.0
2004,738.0,13296.0,0.0,812.0,231170.0
2005,775.0,12835.0,0.0,1582.0,243933.0
2006,572.0,13183.0,0.0,2055.0,250027.0
2007,654.0,13103.0,0.0,2639.0,258917.0
2008,727.0,12997.0,0.0,4355.0,264299.0
2009,809.0,12393.0,0.0,5053.0,258166.0
2010,840.0,13478.0,0.0,4792.0,269937.0
2011,746.0,11959.0,0.0,6726.0,282397.0
2012,561.0,11944.0,0.0,7615.0,292920.0
2013,511.0,10708.0,3.0,8259.0,304358.0
2014,548.0,12707.0,3.0,9691.0,316578.0
2015,,,,,328340.0
