State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
UT,1960,304.0,0.0,0.0,0.0,2580.5,114689.0246,0.0,0.0,51217.74165,218045.2,10.6,-13.28,2.91,23.72
UT,1961,231.0,0.0,0.0,0.0,2711.6000000000063,119410.83308,0.0,0.0,57374.10617000001,192084.4,13.3,-5.93,2.85,22.96
UT,1962,393.0,0.0,0.0,0.0,2842.699999999982,99458.87763999999,0.0,0.0,74386.14327999999,179968.2,11.18,-3.46,2.85,22.69
UT,1963,352.0,0.0,0.0,0.0,2998.0,100917.0832,0.0,0.0,77390.56958,193923.0,12.76,-10.81,2.91,22.9
UT,1964,765.0,0.0,0.0,0.0,3078.0,109249.6864,0.0,0.0,80454.20135,165735.0,12.83,-2.61,3.0,23.3
UT,1965,913.0,0.0,0.0,0.0,3207.0,115545.43104000001,0.0,0.0,71865.39549,146728.4,18.02,25.59,3.01,23.0
UT,1966,791.0,0.0,0.0,0.0,3409.0,107282.2662,0.0,0.0,69607.5601,139849.6,10.51,-6.39,3.1,23.01
UT,1967,1074.0,0.0,0.0,0.0,3488.0,96635.05099999999,0.0,0.0,49135.51567,139478.4,13.95,4.82,3.12,22.53
UT,1968,1017.0,0.0,0.0,0.0,3724.0,99898.65392000001,0.0,0.0,46311.7162,136323.2,13.68,4.16,3.18,21.99
UT,1969,1117.0,0.0,0.0,0.0,4036.0,107791.48084,0.0,0.0,46895.74296,135111.0,15.36,10.91,3.32,21.81
UT,1970,741.0,0.0,0.0,0.0,4448.0,109550.58596,0.0,0.0,42929.98052,135546.0,13.3,-0.34,3.39,21.04
UT,1971,984.0,0.0,0.0,0.0,4936.0,107073.95112,0.0,0.0,47428.56359,137054.0,13.66,3.82,3.6,21.42
UT,1972,1223.0,0.0,0.0,0.0,5604.0,111147.66824000001,0.0,0.0,43823.25457,154106.0,12.73,-3.15,3.6,20.74
UT,1973,1111.0,0.0,0.0,0.0,6472.0,134315.335,0.0,0.0,47256.66746,189404.8,13.92,13.03,4.75,25.56
UT,1974,941.0,0.0,0.0,0.0,7348.0,142065.93138,0.0,0.0,55828.94757,228305.4,9.73,-12.57,9.35,45.6
UT,1975,1074.0,0.0,0.0,0.0,8186.0,165908.12595,0.0,0.0,59420.36714,245345.8,13.67,8.99,12.21,54.61
UT,1976,1130.0,0.0,0.0,0.0,9300.0,179079.51722,0.0,0.0,61884.3076,198963.2,9.18,-11.51,13.1,55.46
UT,1977,757.0,0.0,0.0,0.0,10381.0,198554.55766,0.0,0.0,65896.07272000001,192055.4,10.89,-21.48,14.4,57.2
UT,1978,734.0,0.0,0.0,0.0,11998.0,210600.13887,0.0,0.0,62182.12985,181934.4,17.1,12.39,14.95,55.24
UT,1979,802.0,0.0,0.0,0.0,13709.0,280171.79790999996,0.0,0.0,64851.74528,160822.4,11.78,3.7,25.1,82.51
UT,1980,821.0,0.0,0.0,0.0,15311.0,309778.12356,0.0,0.0,104187.66634,144872.4,17.33,17.54,37.42,109.51
UT,1981,623.0,0.0,0.0,0.0,17320.0,319632.22794,0.0,0.0,108861.4203,149988.0,15.23,-5.09,35.75,94.83
UT,1982,1024.0,0.0,0.0,0.0,18365.0,396545.12734,0.0,0.0,98054.66522,130152.0,17.64,21.26,31.83,79.5
UT,1983,1394.0,0.0,0.0,0.0,19752.0,271784.902,0.0,0.0,75919.71376,171297.2,20.07,29.31,29.08,70.34
UT,1984,1391.0,0.0,0.0,0.0,22147.0,285332.53381,0.0,0.0,88109.14846,201196.2,15.73,18.27,28.75,66.67
UT,1985,1019.0,0.0,0.0,0.0,24083.0,301122.2322,0.0,0.0,96835.69132,236593.6,14.8,9.55,26.92,60.27
UT,1986,1413.0,0.0,0.0,0.0,24282.0,331530.08401,0.0,0.0,104635.17261,227197.6,15.01,7.04,14.44,31.72
UT,1987,856.0,0.0,0.0,0.0,25100.0,383551.65932,0.0,0.0,116386.87841,207576.2,14.79,-2.59,17.75,37.62
UT,1988,593.0,0.0,0.0,0.0,27325.0,420402.97755999997,0.0,0.0,146704.55187999998,191492.8,11.18,-6.22,14.87,30.33
UT,1989,562.0,0.0,0.0,0.0,28668.0,459837.67243999994,0.0,0.0,161963.17927,164807.0,9.04,-19.47,18.33,35.6
UT,1990,508.0,0.0,0.0,0.0,31249.0,511405.9068,0.0,0.0,189348.27664,160103.2,12.15,-16.2,23.19,42.62
UT,1991,627.0,0.0,0.0,0.0,33501.0,507978.69045,0.0,0.0,180438.40916,141908.6,13.51,-2.54,20.2,35.73
UT,1992,602.0,0.0,0.0,0.0,35602.0,492997.0509,0.0,0.0,204651.50573,131776.0,13.0,-8.7,19.25,33.04
UT,1993,860.0,0.0,0.0,0.0,38631.0,506837.07333000004,0.0,0.0,266161.44817,126561.8,15.64,13.9,16.75,27.94
UT,1994,750.0,0.0,0.0,0.0,42591.0,566914.42485,0.0,0.0,312008.18084,119833.8,13.12,-6.68,15.66,25.44
UT,1995,969.0,0.0,0.0,0.0,46746.0,586398.14676,0.0,0.0,279414.51478,115930.4,15.55,14.87,16.75,26.48
UT,1996,1049.0,0.0,0.0,0.0,52016.0,640410.27204,0.0,0.0,278775.46749,112525.8,14.18,-4.11,20.46,31.4
UT,1997,1344.0,0.0,0.0,0.0,55212.0,616383.97075,0.0,0.0,295689.99579,112038.6,16.8,16.4,18.64,27.98
UT,1998,1315.0,0.0,0.0,0.0,61717.0,600793.032,0.0,0.0,308880.56317,111354.2,17.4,17.73,11.91,17.6
UT,1999,1255.0,0.0,0.0,0.0,65851.0,620369.4417,0.0,0.0,294827.60523000004,94267.4,12.43,-1.71,16.56,23.89
UT,2000,746.0,0.0,0.0,0.0,70172.0,631270.3241600001,0.0,0.0,302188.88891,90688.8,13.53,-8.77,27.39,38.29
UT,2001,508.0,0.0,0.0,0.0,73507.0,640594.04892,0.0,0.0,316851.02233,88461.6,11.69,-9.15,23.0,31.3
UT,2002,458.0,0.0,0.0,0.0,76063.0,586925.52088,0.0,0.0,295223.24755,79320.8,9.04,-20.39,22.81,30.52
UT,2003,421.0,0.0,0.0,0.0,79610.0,536149.62797,0.0,0.0,289847.25565,75956.8,11.53,-15.26,27.69,36.26
UT,2004,450.0,0.0,0.0,0.0,85690.0,490146.3590600001,0.0,0.0,298102.66893000004,84848.2,15.27,2.73,37.66,47.98
UT,2005,784.0,0.0,0.0,0.0,94475.0,554221.4351100001,0.0,0.0,321688.63593000005,96575.8,16.68,17.58,50.04,61.65
UT,2006,747.0,0.0,0.0,0.0,106312.0,593320.9765,0.0,0.0,372315.03942,103878.0,14.41,-2.11,58.3,69.64
UT,2007,539.0,0.0,0.0,0.0,115982.0,556435.844,0.0,0.0,402047.7083,113216.0,11.28,-14.61,64.2,74.44
UT,2008,668.0,0.0,0.0,24.0,116117.0,564147.21,0.0,0.0,463960.21067,127588.4,11.66,-4.18,91.48,102.0
UT,2009,835.0,0.0,0.0,160.0,113194.0,502597.956,0.0,0.0,475936.96209,132976.6,11.8,-6.97,53.48,59.93
UT,2010,696.0,0.0,0.0,448.0,117714.0,520316.1189109893,0.0,0.0,491301.4829101122,114640.62385993545,17.23,10.46,71.21,78.65
UT,2011,1230.0,0.0,0.0,573.0,124031.0,537122.9532152126,0.0,0.0,506819.3306073558,104473.6185177234,14.71,16.41,87.04,93.21
UT,2012,748.0,0.0,2.0,704.0,128018.0,553114.4610831832,0.0,0.0,522486.196427773,98339.5192524842,10.69,-20.23,86.46,90.72
UT,2013,505.0,0.0,2.0,540.0,133264.0,568379.0514055779,0.0,0.0,538298.1844727186,94196.44829039508,13.21,-8.24,91.17,94.25
UT,2014,633.0,0.0,2.0,660.0,140296.0,582994.4168439028,0.0,0.0,554251.3988435476,91036.30253325775,13.33,-9.98,85.6,87.05
UT,2015,428.8726793940207,0.0,1.5874830807818836,754.294070038542,108810.07689317224,597029.3198686843,0.0,0.0,570341.9436416153,88361.44832633018,15.41,-7.06,41.85,42.53
UT,2016,458.6376689118272,0.0,0.9315600925830155,830.4542467296023,113184.12797902712,610546.2718167659,0.0,0.0,586565.9229682761,85926.03094732901,14.2,-3.68,46.12346273712689,45.34334281602651
UT,2017,557.2478456641865,0.0,0.2780022870727953,898.8910783614604,115504.69673251455,623600.6398722087,0.0,0.0,602920.4148995469,83609.09777183831,14.072882357078994,-0.5683832864025362,50.27031775246161,47.86557419563582
UT,2018,632.7695239821785,0.0,0.31706945234346506,960.8766628141825,117942.88547235634,636241.5400853893,0.0,0.0,619402.497511443,81350.41932973964,13.785323930390069,-0.6592097559865806,53.63968414130846,49.564251832694644
UT,2019,692.1596983317851,0.0,0.34598704349634035,1018.4826989936837,120374.31707568932,648513.6234111958,0.0,0.0,636008.2749053198,79120.37457015645,13.47047256862634,-0.8184942556877388,56.231561903667796,51.26292946975343
UT,2020,712.7572432568511,0.0,0.37280520736937073,1074.4651747670928,122806.09226223455,660456.1826899294,0.0,0.0,652734.8251571937,76904.64665183006,13.419784828671816,-1.6142695592727991,58.8234396660269,52.96160710681224
