Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,2844.0,0.0,0.0,0.0,1864.7000000000119,0.0,0.0,0.0,0.0,0.0,43.96,2.09,2.91,23.72
1,1961,2604.0,0.0,0.0,0.0,2051.200000000012,0.0,0.0,0.0,0.0,0.0,42.89,0.23,2.85,22.96
2,1962,2527.0,0.0,0.0,0.0,2237.700000000012,0.0,0.0,0.0,0.0,0.0,42.99,4.1,2.85,22.69
3,1963,2850.0,0.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0,0.0,42.46,-0.36,2.91,22.9
4,1964,2472.0,0.0,0.0,0.0,2604.0,0.0,0.0,0.0,0.0,0.0,35.33,-10.22,3.0,23.3
5,1965,2069.0,0.0,0.0,0.0,2807.0,0.0,0.0,0.0,0.0,0.0,31.94,-16.69,3.01,23.0
6,1966,2420.0,0.0,0.0,0.0,3001.0,0.0,0.0,0.0,0.0,0.0,38.04,-5.36,3.1,23.01
7,1967,2560.0,0.0,0.0,0.0,3154.0,0.0,0.0,0.0,0.0,0.0,41.37,1.0,3.12,22.53
8,1968,2611.0,0.0,0.0,0.0,3406.0,0.0,0.0,0.0,0.0,0.0,37.6,-9.73,3.18,21.99
9,1969,2764.0,0.0,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,0.0,49.66,12.74,3.32,21.81
10,1970,2853.0,0.0,0.0,0.0,3959.0,0.0,0.0,0.0,0.0,0.0,40.78,-3.51,3.39,21.04
11,1971,2463.0,0.0,0.0,0.0,4207.0,0.0,0.0,0.0,0.0,0.0,37.62,-8.03,3.6,21.42
12,1972,2655.0,54.0,0.0,0.0,4625.0,0.0,0.0,0.0,0.0,0.0,48.62,12.78,3.6,20.74
13,1973,3095.0,3351.0,0.0,0.0,5203.0,0.0,0.0,0.0,0.0,0.0,53.42,16.27,4.75,25.56
14,1974,2911.0,3574.0,0.0,0.0,5603.0,0.0,0.0,0.0,0.0,0.0,42.94,4.44,9.35,45.6
15,1975,2664.0,4502.0,0.0,0.0,5996.0,0.0,0.0,0.0,0.0,0.0,41.39,-3.15,12.21,54.61
16,1976,3094.0,5929.0,0.0,0.0,6968.0,0.0,0.0,0.0,0.0,0.0,51.04,14.48,13.1,55.46
17,1977,3035.0,5143.0,0.0,0.0,7647.0,0.0,0.0,0.0,0.0,0.0,48.89,9.47,14.4,57.2
18,1978,2827.0,5354.0,0.0,0.0,8449.0,0.0,0.0,0.0,0.0,0.0,35.99,-10.53,14.95,55.24
19,1979,2789.0,4497.0,0.0,0.0,9335.0,0.0,0.0,0.0,0.0,0.0,50.38,9.24,25.1,82.51
20,1980,2417.0,4404.0,0.0,0.0,10263.0,0.0,0.0,0.0,0.0,0.0,37.39,-6.79,37.42,109.51
21,1981,2854.0,5212.0,0.0,0.0,11255.0,0.0,0.0,0.0,0.0,0.0,48.38,10.1,35.75,94.83
22,1982,2943.0,4524.0,0.0,0.0,12115.0,0.0,0.0,0.0,0.0,0.0,37.72,-6.4,31.83,79.5
23,1983,2936.0,5730.0,0.0,0.0,13239.0,0.0,0.0,0.0,0.0,0.0,55.91,15.43,29.08,70.34
24,1984,2987.0,5123.0,0.0,0.0,14897.0,0.0,0.0,0.0,0.0,0.0,43.53,0.48,28.75,66.67
25,1985,2691.0,5354.0,0.0,0.0,16046.0,0.0,0.0,0.0,0.0,0.0,35.54,-7.33,26.92,60.27
26,1986,3007.0,6242.0,0.0,0.0,17382.0,0.0,0.0,0.0,0.0,0.0,42.53,3.76,14.44,31.72
27,1987,2677.0,4043.0,0.0,0.0,19166.0,0.0,0.0,0.0,0.0,0.0,38.04,-6.39,17.75,37.62
28,1988,2542.0,5017.0,0.0,0.0,21371.0,0.0,0.0,0.0,0.0,0.0,38.35,-6.65,14.87,30.33
29,1989,3445.0,6942.0,0.0,0.0,22670.0,0.0,0.0,0.0,0.0,0.0,41.82,-0.56,18.33,35.6
30,1990,4091.0,4861.0,0.0,0.0,23256.0,0.0,0.0,0.0,0.0,0.0,51.18,11.87,23.19,42.62
31,1991,3817.0,6264.0,0.0,0.0,23379.0,0.0,0.0,0.0,0.0,0.0,44.24,1.96,20.2,35.73
32,1992,3513.0,5358.0,0.0,0.0,24329.0,0.0,0.0,0.0,0.0,0.0,37.5,-5.1,19.25,33.04
33,1993,3246.0,5740.0,0.0,0.0,25202.0,0.0,0.0,0.0,0.0,0.0,43.61,1.48,16.75,27.94
34,1994,3511.0,6632.0,0.0,0.0,26543.0,0.0,0.0,0.0,0.0,0.0,41.68,-1.92,15.66,25.44
35,1995,3354.0,198.0,0.0,0.0,28153.0,0.0,0.0,0.0,0.0,0.0,42.72,-2.74,16.75,26.48
36,1996,4157.0,5062.0,0.0,0.0,29256.0,0.0,0.0,0.0,0.0,0.0,51.39,15.0,20.46,31.4
37,1997,3648.0,0.0,0.0,0.0,30775.0,0.0,0.0,0.0,0.0,0.0,39.51,-2.25,18.64,27.98
38,1998,3716.0,0.0,0.0,0.0,32394.0,0.0,0.0,0.0,0.0,0.0,45.24,2.84,11.91,17.6
39,1999,3756.0,0.0,0.0,0.0,34613.0,0.0,0.0,0.0,0.0,0.0,46.35,1.1,16.56,23.89
40,2000,3591.0,0.0,0.0,0.0,37072.0,0.0,0.0,0.0,0.0,0.0,43.15,1.01,27.39,38.29
41,2001,2645.0,0.0,0.0,0.0,38834.0,0.0,0.0,0.0,0.0,0.0,29.83,-24.15,23.0,31.3
42,2002,2768.0,0.0,0.0,0.0,40520.0,0.0,0.0,0.0,0.0,0.0,40.98,-2.4,22.81,30.52
43,2003,3173.0,0.0,0.0,0.0,42291.0,0.0,0.0,0.0,0.0,0.0,46.02,3.4,27.69,36.26
44,2004,3430.0,0.0,0.0,0.0,44887.0,0.0,0.0,0.0,0.0,0.0,38.8,-3.15,37.66,47.98
45,2005,4091.0,0.0,0.0,0.0,46277.0,0.0,0.0,0.0,0.0,0.0,61.59,24.38,50.04,61.65
46,2006,4278.0,0.0,0.0,0.0,48311.0,0.0,0.0,0.0,0.0,0.0,51.65,11.67,58.3,69.64
47,2007,3738.0,0.0,0.0,99.0,49452.0,0.0,0.0,0.0,0.0,0.0,47.63,6.67,64.2,74.44
48,2008,4457.0,0.0,0.0,132.0,49949.0,0.0,0.0,0.0,0.0,0.0,56.02,20.79,91.48,102.0
49,2009,4212.0,0.0,0.0,299.0,50405.0,0.0,0.0,0.0,0.0,0.0,49.46,11.06,53.48,59.93
50,2010,3810.0,0.0,0.0,499.0,51456.0,0.0,0.0,0.0,0.0,0.0,49.31,4.8,71.21,78.65
51,2011,3979.0,0.0,0.0,707.0,51490.0,0.0,0.0,0.0,0.0,0.0,50.04,10.79,87.04,93.21
52,2012,3733.0,0.0,0.0,887.0,52580.0,0.0,0.0,0.0,0.0,0.0,47.38,3.36,86.46,90.72
53,2013,3560.0,0.0,0.0,1048.0,53219.0,0.0,0.0,0.0,0.0,0.0,45.61,5.75,91.17,94.25
54,2014,3623.0,0.0,0.0,1097.0,55250.0,0.0,0.0,0.0,0.0,0.0,49.45,9.78,85.6,87.05
