Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960,34349,0,0,0,,3713
1961,37360,0,0,0,,3111
1962,39553,0,0,0,,3827
1963,43117,0,0,0,11171,3094
1964,47036,0,0,0,11392,1107
1965,49295,0,0,0,12330,895
1966,52821,989,0,0,14270,960
1967,58899,2015,0,0,15659,960
1968,64336,3903,0,0,17014,2899
1969,67541,3667,0,0,18091,944
1970,69525,2614,0,0,18112,602
1971,71589,2553,0,0,18761,18470
1972,75883,2919,0,0,20483,42902
1973,69016,4432,0,0,23342,52974
1974,82491,3889,0,0,26240,63390
1975,83708,3308,0,0,29282,60636
1976,94457,2405,0,0,32735,66565
1977,66617,4315,0,0,36826,81923
1978,88906,4140,0,0,42668,76269
1979,79511,3613,0,0,48713,82166
1980,83111,2041,0,0,52682,83268
1981,93701,2042,0,0,58918,75087
1982,87705,3631,0,0,62933,67456
1983,85564,3494,0,0,67949,63034
1984,83431,5313,0,0,74170,62726
1985,77053,8038,0,0,77341,71895
1986,78960,8439,0,0,84015,74536
1987,69827,5528,0,0,90325,72073
1988,68508,6000,0,0,99051,84209
1989,71528,6118,0,0,108064,81690
1990,87467,5742,0,0,118640,81056
1991,89342,4230,0,0,125895,82320
1992,68325,5692,0,0,134469,83183
1993,67312,7135,0,0,142500,74932
1994,65575,6740,0,0,150805,77210
1995,82500,6942,0,0,155069,78433
1996,98518,5588,0,0,166540,72089
1997,104171,6244,0,0,179639,71253
1998,79815,6916,0,0,209988,72809
1999,96989,6086,0,0,230752,63996
2000,80263,8605,0,0,237381,66520
2001,54734,8250,0,0,239397,72134
2002,78167,9048,0,417,248879,91334
2003,71757,7615,0,604,258388,97712
2004,71576,8982,0,737,270385,89958
2005,72075,8242,0,498,296403,82684
2006,82008,9328,0,1038,316801,40267
2007,78829,8109,0,2438,345971,0
2008,77637,9270,0,3657,354210,0
2009,72933,6634,0,3572,348465,0
2010,68288,9241,0,4745,359694,0
2011,91818,4806,1,6262,370149,0
2012,89464,9334,1,6600,388922,0
2013,78155,8461,1,7004,404540,0
2014,79463,9497,1,7268,423795,0
