Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,992.0,0.0,0.0,0.0,,9177
1961.0,1395.0,0.0,0.0,0.0,,8863
1962.0,1061.0,0.0,0.0,0.0,,5744
1963.0,493.0,0.0,0.0,0.0,3791.0,4959
1964.0,561.0,0.0,0.0,0.0,4148.0,4757
1965.0,1080.0,0.0,0.0,0.0,4446.0,5071
1966.0,1587.0,0.0,0.0,0.0,4868.0,5295
1967.0,1228.0,0.0,0.0,0.0,5132.0,4241
1968.0,3005.0,0.0,0.0,0.0,5704.0,4734
1969.0,2883.0,0.0,0.0,0.0,6232.0,5116
1970.0,2160.0,0.0,0.0,0.0,6667.0,6013
1971.0,1804.0,0.0,0.0,0.0,7440.0,6193
1972.0,1644.0,0.0,0.0,0.0,8494.0,9604
1973.0,4252.0,0.0,0.0,0.0,9886.0,9092
1974.0,4271.0,361.0,0.0,0.0,10865.0,10210
1975.0,3433.0,4874.0,0.0,0.0,11942.0,10765
1976.0,2022.0,3858.0,0.0,0.0,13704.0,11982
1977.0,1791.0,5085.0,0.0,0.0,15182.0,12633
1978.0,2421.0,5220.0,0.0,0.0,17477.0,12616
1979.0,3375.0,3873.0,0.0,0.0,19099.0,5632
1980.0,1695.0,7833.0,0.0,0.0,20276.0,7158
1981.0,1235.0,9075.0,0.0,0.0,22891.0,5138
1982.0,2106.0,7482.0,0.0,0.0,23527.0,3612
1983.0,3315.0,7646.0,0.0,0.0,25292.0,1974
1984.0,2723.0,10808.0,0.0,0.0,28465.0,1840
1985.0,4434.0,9889.0,0.0,0.0,29326.0,1795
1986.0,2813.0,8876.0,0.0,0.0,30799.0,3747
1987.0,2407.0,11369.0,0.0,0.0,32664.0,1884
1988.0,2785.0,8895.0,0.0,0.0,35004.0,6193
1989.0,3084.0,8844.0,0.0,0.0,37128.0,1570
1990.0,3655.0,11282.0,0.0,0.0,38680.0,1323
1991.0,3547.0,12662.0,0.0,0.0,41572.0,1166
1992.0,3377.0,11326.0,0.0,0.0,45018.0,1301
1993.0,4509.0,13522.0,0.0,0.0,47566.0,987
1994.0,3463.0,13924.0,0.0,0.0,51416.0,1144
1995.0,3218.0,11658.0,0.0,0.0,54612.0,650
1996.0,2797.0,13357.0,0.0,0.0,57976.0,471
1997.0,3516.0,14208.0,0.0,0.0,60333.0,403
1998.0,3117.0,13097.0,0.0,0.0,62275.0,538
1999.0,2694.0,12920.0,0.0,0.0,66715.0,493
2000.0,2370.0,11652.0,0.0,0.0,68809.0,269
2001.0,2548.0,14781.0,0.0,0.0,70849.0,381
2002.0,3436.0,14559.0,0.0,0.0,74097.0,314
2003.0,2655.0,14689.0,0.0,0.0,78774.0,179
2004.0,3643.0,15450.0,0.0,0.0,85261.0,157
2005.0,3083.0,13690.0,0.0,0.0,90319.0,67
2006.0,1551.0,15233.0,0.0,0.0,94839.0,516
2007.0,3237.0,15486.0,0.0,0.0,97384.0,1862
2008.0,4660.0,14168.0,0.0,0.0,99838.0,1548
2009.0,4193.0,15170.0,0.0,0.0,98020.0,112
2010.0,3659.0,15023.0,0.0,0.0,102951.0,0
2011.0,2958.0,14194.0,0.0,0.0,107287.0,0
2012.0,2198.0,15493.0,0.0,0.0,109226.0,0
2013.0,2655.0,11945.0,0.0,0.0,114379.0,0
2014.0,2640.0,14478.0,0.0,0.0,117854.0,0
