Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,992.0,0.0,0.0,0.0,,9177,0.0,0.0,174678.6,57392.86465
1961.0,1395.0,0.0,0.0,0.0,,8863,0.0,0.0,169626.8,61632.3044
1962.0,1061.0,0.0,0.0,0.0,,5744,0.0,0.0,160364.2,68531.74419
1963.0,493.0,0.0,0.0,0.0,3791.0,4959,0.0,0.0,158954.8,78766.01672
1964.0,561.0,0.0,0.0,0.0,4148.0,4757,0.0,0.0,155074.6,78834.328
1965.0,1080.0,0.0,0.0,0.0,4446.0,5071,0.0,0.0,150394.0,85731.69775
1966.0,1587.0,0.0,0.0,0.0,4868.0,5295,0.0,0.0,138179.2,108857.13778
1967.0,1228.0,0.0,0.0,0.0,5132.0,4241,0.0,0.0,122235.0,120602.53873
1968.0,3005.0,0.0,0.0,0.0,5704.0,4734,0.0,0.0,112891.2,162111.99459
1969.0,2883.0,0.0,0.0,0.0,6232.0,5116,0.0,0.0,104684.2,175184.2905
1970.0,2160.0,0.0,0.0,0.0,6667.0,6013,0.0,0.0,104603.0,187701.81597
1971.0,1804.0,0.0,0.0,0.0,7440.0,6193,0.0,0.0,105925.4,177562.32389
1972.0,1644.0,0.0,0.0,0.0,8494.0,9604,0.0,0.0,107410.2,169378.42271
1973.0,4252.0,0.0,0.0,0.0,9886.0,9092,0.0,0.0,104492.8,159338.13599
1974.0,4271.0,361.0,0.0,0.0,10865.0,10210,0.0,0.0,95856.6,125477.88459
1975.0,3433.0,4874.0,0.0,0.0,11942.0,10765,0.0,0.0,93571.4,117374.2268
1976.0,2022.0,3858.0,0.0,0.0,13704.0,11982,0.0,0.0,104962.6,110568.54
1977.0,1791.0,5085.0,0.0,0.0,15182.0,12633,0.0,0.0,117171.6,107368.54966
1978.0,2421.0,5220.0,0.0,0.0,17477.0,12616,0.0,0.0,117908.2,108285.19431
1979.0,3375.0,3873.0,0.0,0.0,19099.0,5632,0.0,0.0,109440.2,113633.81554
1980.0,1695.0,7833.0,0.0,0.0,20276.0,7158,0.0,0.0,105618.0,114473.3191
1981.0,1235.0,9075.0,0.0,0.0,22891.0,5138,0.0,0.0,106441.6,95565.69745
1982.0,2106.0,7482.0,0.0,0.0,23527.0,3612,0.0,0.0,109324.2,127217.45581
1983.0,3315.0,7646.0,0.0,0.0,25292.0,1974,0.0,0.0,109324.2,132636.93867
1984.0,2723.0,10808.0,0.0,0.0,28465.0,1840,0.0,0.0,108634.0,140012.53481
1985.0,4434.0,9889.0,0.0,0.0,29326.0,1795,0.0,0.0,110455.2,159998.84823
1986.0,2813.0,8876.0,0.0,0.0,30799.0,3747,0.0,0.0,91512.4,135759.38824
1987.0,2407.0,11369.0,0.0,0.0,32664.0,1884,0.0,0.0,82545.6,145562.33906
1988.0,2785.0,8895.0,0.0,0.0,35004.0,6193,0.0,0.0,78909.0,169929.50315
1989.0,3084.0,8844.0,0.0,0.0,37128.0,1570,0.0,0.0,65313.8,176657.46882
1990.0,3655.0,11282.0,0.0,0.0,38680.0,1323,0.0,0.0,60238.8,177929.49515
1991.0,3547.0,12662.0,0.0,0.0,41572.0,1166,0.0,0.0,59769.0,168002.84904
1992.0,3377.0,11326.0,0.0,0.0,45018.0,1301,0.0,0.0,59508.0,204994.13836
1993.0,4509.0,13522.0,0.0,0.0,47566.0,987,0.0,0.0,57855.0,199973.09839
1994.0,3463.0,13924.0,0.0,0.0,51416.0,1144,0.0,0.0,55494.4,192728.8602
1995.0,3218.0,11658.0,0.0,0.0,54612.0,650,0.0,0.0,51678.0,202255.87632
1996.0,2797.0,13357.0,0.0,0.0,57976.0,471,0.0,0.0,51121.2,228372.47414
1997.0,3516.0,14208.0,0.0,0.0,60333.0,403,0.0,0.0,48888.2,212525.41307
1998.0,3117.0,13097.0,0.0,0.0,62275.0,538,0.0,0.0,46388.4,193607.17028
1999.0,2694.0,12920.0,0.0,0.0,66715.0,493,0.0,0.0,41470.0,173921.70206
2000.0,2370.0,11652.0,0.0,0.0,68809.0,269,0.0,0.0,41493.2,175492.58727
2001.0,2548.0,14781.0,0.0,0.0,70849.0,381,0.0,0.0,44033.6,170163.14981
2002.0,3436.0,14559.0,0.0,0.0,74097.0,314,0.0,0.0,42595.2,166257.26805
2003.0,2655.0,14689.0,0.0,0.0,78774.0,179,0.0,0.0,41910.8,175398.95436
2004.0,3643.0,15450.0,0.0,0.0,85261.0,157,0.0,0.0,39045.6,189925.62269
2005.0,3083.0,13690.0,0.0,0.0,90319.0,67,0.0,0.0,36795.2,193589.23231
2006.0,1551.0,15233.0,0.0,0.0,94839.0,516,0.0,0.0,35403.2,278737.43917
2007.0,3237.0,15486.0,0.0,0.0,97384.0,1862,0.0,0.0,34979.8,272032.65197
2008.0,4660.0,14168.0,0.0,0.0,99838.0,1548,0.0,0.0,35258.2,453365.55427
2009.0,4193.0,15170.0,0.0,0.0,98020.0,112,0.0,0.0,33529.8,691086.2326
