Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price_x,Inflation Adjusted Price_x,Nominal Price_y,Inflation Adjusted Price_y
1960.0,2030.0,0.0,0.0,0.0,,0.0,0.0,0.0,23086.64018,92214.2,31.47,0.69,2.91,23.72,2.91,23.72
1961.0,1788.0,0.0,0.0,0.0,,0.0,0.0,0.0,30756.64613,109625.8,30.88,1.55,2.85,22.96,2.85,22.96
1962.0,1705.0,0.0,0.0,0.0,,0.0,0.0,0.0,32189.1505,99261.2,26.81,-11.24,2.85,22.69,2.85,22.69
1963.0,1369.0,122.0,0.0,0.0,30466.0,0.0,0.0,0.0,36478.89032,92637.6,24.53,-20.73,2.91,22.9,2.91,22.9
1964.0,1545.0,192.0,0.0,0.0,32575.0,0.0,0.0,0.0,35044.16502,90485.8,29.29,-8.72,3.0,23.3,3.0,23.3
1965.0,1813.0,181.0,0.0,0.0,37000.0,0.0,0.0,0.0,38375.57053000001,85422.4,34.43,9.4,3.01,23.0,3.01,23.0
1966.0,1820.0,343.0,0.0,0.0,39260.0,0.0,0.0,0.0,37889.18532,82783.4,29.47,-5.9,3.1,23.01,3.1,23.01
1967.0,1970.0,502.0,0.0,0.0,40025.0,0.0,0.0,0.0,37299.52655,79251.2,33.77,9.58,3.12,22.53,3.12,22.53
1968.0,1913.0,426.0,0.0,0.0,44727.0,0.0,0.0,0.0,44951.765,75249.2,34.81,8.71,3.18,21.99,3.18,21.99
1969.0,1891.0,401.0,0.0,0.0,47894.0,0.0,0.0,0.0,40157.87247,70835.4,30.83,0.41,3.32,21.81,3.32,21.81
1970.0,1704.0,375.0,0.0,0.0,46178.0,0.0,0.0,0.0,43142.81181,67819.4,32.68,3.17,3.39,21.04,3.39,21.04
1971.0,1776.0,388.0,0.0,0.0,51704.0,0.0,0.0,0.0,29468.16123,68979.4,29.8,-8.19,3.6,21.42,3.6,21.42
1972.0,1793.0,2125.0,0.0,0.0,56579.0,0.0,0.0,0.0,37998.58999,75342.0,34.37,12.57,3.6,20.74,3.6,20.74
1973.0,1054.0,2980.0,0.0,0.0,62907.0,0.0,0.0,0.0,47641.5479,84761.2,33.18,-0.18,4.75,25.56,4.75,25.56
1974.0,1182.0,416.0,0.0,0.0,63034.0,0.0,0.0,0.0,72762.13885,104521.8,32.52,5.91,9.35,45.6,9.35,45.6
1975.0,1110.0,7176.0,0.0,0.0,67046.0,0.0,0.0,0.0,107903.78661,141636.0,36.64,14.5,12.21,54.61,12.21,54.61
1976.0,1050.0,9901.0,0.0,0.0,78770.0,0.0,0.0,0.0,130939.89446,176441.8,27.92,-10.23,13.1,55.46,13.1,55.46
1977.0,931.0,10231.0,0.0,0.0,89326.0,0.0,0.0,0.0,149097.12747,191197.0,33.91,0.34,14.4,57.2,14.4,57.2
1978.0,1085.0,13104.0,0.0,0.0,99335.0,0.0,0.0,0.0,171194.02093,201068.6,30.96,2.29,14.95,55.24,14.95,55.24
1979.0,1306.0,15139.0,0.0,0.0,105413.0,0.0,0.0,0.0,187078.50134,202199.6,32.41,5.84,25.1,82.51,25.1,82.51
1980.0,1200.0,15891.0,0.0,0.0,104134.0,0.0,0.0,0.0,189227.2752,196086.4,31.59,4.98,37.42,109.51,37.42,109.51
1981.0,1240.0,17066.0,0.0,0.0,114676.0,0.0,0.0,0.0,180665.71597,189457.0,32.12,5.15,35.75,94.83,35.75,94.83
1982.0,1211.0,15003.0,0.0,0.0,115166.0,0.0,0.0,0.0,180015.29426,182479.6,34.47,8.55,31.83,79.5,31.83,79.5
1983.0,1229.0,16383.0,0.0,0.0,127754.0,0.0,0.0,0.0,163534.10741,184068.8,34.87,4.94,29.08,70.34,29.08,70.34
1984.0,1071.0,14078.0,0.0,0.0,143678.0,0.0,0.0,0.0,168029.57588,177213.2,31.96,1.13,28.75,66.67,28.75,66.67
1985.0,997.0,13452.0,0.0,0.0,153605.0,0.0,0.0,0.0,152602.16005,158340.0,39.22,17.64,26.92,60.27,26.92,60.27
1986.0,721.0,12257.0,0.0,0.0,163458.0,0.0,0.0,0.0,149605.67678,148990.4,34.8,9.95,14.44,31.72,14.44,31.72
1987.0,481.0,14389.0,0.0,0.0,169237.0,0.0,0.0,0.0,168450.05105,150637.6,30.44,-5.81,17.75,37.62,17.75,37.62
1988.0,600.0,17808.0,0.0,0.0,180621.0,0.0,0.0,0.0,168775.54238,134850.0,32.35,-4.57,14.87,30.33,14.87,30.33
1989.0,749.0,21312.0,0.0,0.0,190626.0,0.0,0.0,0.0,178494.90718,125094.4,27.57,-8.18,18.33,35.6,18.33,35.6
1990.0,1628.0,21610.0,0.0,0.0,193103.0,0.0,0.0,0.0,191577.31925,114120.8,36.2,11.79,23.19,42.62,23.19,42.62
1991.0,1752.0,27021.0,0.0,0.0,197717.0,0.0,0.0,0.0,214841.9797,101616.0,35.5,4.53,20.2,35.73,20.2,35.73
1992.0,1782.0,18849.0,0.0,0.0,212057.0,0.0,0.0,0.0,213370.40519,90358.2,33.36,9.82,19.25,33.04,19.25,33.04
1993.0,1762.0,28525.0,0.0,0.0,226368.0,0.0,0.0,0.0,221742.42911,80034.2,32.44,8.03,16.75,27.94,16.75,27.94
1994.0,1660.0,14144.0,0.0,0.0,251484.0,0.0,0.0,0.0,238838.05801,70800.6,32.39,5.24,15.66,25.44,15.66,25.44
1995.0,1597.0,24448.0,0.0,0.0,256615.0,0.0,0.0,0.0,253705.13437,66021.4,31.82,-1.42,16.75,26.48,16.75,26.48
1996.0,1784.0,26829.0,0.0,0.0,270320.0,0.0,0.0,0.0,259829.65235,62854.6,34.01,10.4,20.46,31.4,20.46,31.4
1997.0,1712.0,21914.0,0.0,0.0,286408.0,0.0,0.0,0.0,321059.71353,58307.4,29.93,-1.09,18.64,27.98,18.64,27.98
1998.0,1397.0,12494.0,0.0,0.0,313403.0,0.0,0.0,0.0,293353.18877,52165.2,29.56,-15.06,11.91,17.6,11.91,17.6
1999.0,1458.0,14591.0,0.0,0.0,337639.0,0.0,0.0,0.0,292250.03507,45448.8,31.4,-5.37,16.56,23.89,16.56,23.89
2000.0,1428.0,18882.0,0.0,0.0,351621.0,0.0,0.0,0.0,312014.7197,45860.6,33.02,3.38,27.39,38.29,27.39,38.29
2001.0,1562.0,26711.0,0.0,0.0,350578.0,0.0,0.0,0.0,288779.38832,42775.0,35.17,4.5,23.0,31.3,23.0,31.3
2002.0,1669.0,31087.0,0.0,0.0,364465.0,0.0,0.0,0.0,286179.29868,41870.2,30.9,-3.83,22.81,30.52,22.81,30.52
2003.0,1386.0,27954.0,0.0,3.0,376269.0,0.0,6174.09144,1030.10027,249369.92891,37839.2,31.08,-2.25,27.69,36.26,27.69,36.26
2004.0,1540.0,30562.0,0.0,2.0,382666.0,0.0,6893.58907,1155.24299,272210.61406,37172.2,35.35,7.15,37.66,47.98,37.66,47.98
2005.0,1462.0,32872.0,0.0,2.0,395166.0,0.0,6598.77765,1110.58001,270663.4984,32184.2,29.89,-12.92,50.04,61.65,50.04,61.65
2006.0,1520.0,29066.0,0.0,2.0,395550.0,0.0,11046.52346,1867.4557100000002,272235.01321,29539.4,35.85,7.22,58.3,69.64,58.3,69.64
2007.0,1270.0,31517.0,0.0,3.0,401522.0,0.0,26029.71783,4420.19246,275428.85254,30165.8,30.66,-11.36,64.2,74.44,64.2,74.44
2008.0,1364.0,31484.0,0.0,141.0,384270.0,0.0,31753.47932,5415.59578,162173.18524000002,36093.4,36.85,13.43,91.48,102.0,91.48,102.0
2009.0,1372.0,21851.0,0.0,300.0,363146.0,0.0,29801.39525,5114.45871,160264.0293,34220.0,33.87,8.32,53.48,59.93,53.48,59.93
2010.0,1251.0,29625.0,0.0,360.0,385021.0,0.0,,,,,31.22,-3.54,71.21,78.65,71.21,78.65
2011.0,1357.0,32889.0,0.0,456.0,399437.0,0.0,,,,,36.82,8.33,87.04,93.21,87.04,93.21
2012.0,1215.0,28020.0,0.0,1132.0,416701.0,0.0,,,,,31.0,-8.73,86.46,90.72,86.46,90.72
2013.0,1419.0,28921.0,0.0,2800.0,430538.0,0.0,,,,,38.23,14.26,91.17,94.25,91.17,94.25
2014.0,1600.0,31246.0,0.0,3868.0,447961.0,0.0,,,,,36.66,14.57,85.6,87.05,85.6,87.05
2015.0,,,,,,,,,,,31.75,-3.35,41.85,42.53,41.85,42.53
2016.0,,,,,,,,,,,36.05,4.66,,,34.39,34.13
